DATAFLOW,LAST UPDATE,freq,indic_bt,nace_r2,s_adj,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,CZ,2024-09,118.7,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,CZ,2024-10,118.9,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,CZ,2024-11,118.9,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,CZ,2024-12,118.4,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,CZ,2025-01,118.9,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,CZ,2025-02,119.0,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,CZ,2025-03,119.0,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,CZ,2025-04,119.1,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,DE,2024-05,118.6,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,DE,2024-06,118.5,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,DE,2024-07,118.5,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,DE,2024-08,118.3,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,DE,2024-09,118.3,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,DE,2024-10,118.2,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,DE,2024-11,118.2,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,DE,2024-12,118.2,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,DE,2025-01,118.3,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,DE,2025-02,118.8,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,DE,2025-03,118.9,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,DE,2025-04,118.9,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,DK,2024-05,116.7,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,DK,2024-06,116.9,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,DK,2024-07,116.5,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,DK,2024-08,116.9,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,DK,2024-09,116.6,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,DK,2024-10,116.4,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,DK,2024-11,116.5,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,DK,2024-12,117.2,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,DK,2025-01,117.7,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,DK,2025-02,118.2,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,DK,2025-03,118.2,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,DK,2025-04,118.9,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,EA20,2024-05,116.9,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,EA20,2024-06,117.0,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,EA20,2024-07,117.0,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,EA20,2024-08,116.9,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,EA20,2024-09,116.7,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,EA20,2024-10,116.6,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,EA20,2024-11,116.5,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,EA20,2024-12,116.5,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,EA20,2025-01,116.9,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,EA20,2025-02,117.4,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,EA20,2025-03,117.4,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,EE,2024-05,114.9,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,EE,2024-06,114.7,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,EE,2024-07,113.4,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,EE,2024-08,115.1,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,EE,2024-09,115.4,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,EE,2024-10,115.6,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,EE,2024-11,114.2,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,EE,2024-12,116.0,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,EE,2025-01,115.3,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,EE,2025-02,116.9,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,EE,2025-03,117.2,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,EE,2025-04,118.1,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,EL,2024-05,114.2,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,EL,2024-06,114.4,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,EL,2024-07,114.2,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,EL,2024-08,114.4,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,EL,2024-09,114.9,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,EL,2024-10,116.1,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,EL,2024-11,115.9,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,EL,2024-12,116.0,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,EL,2025-01,116.9,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,EL,2025-02,117.5,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,EL,2025-03,117.6,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,ES,2024-05,114.7,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,ES,2024-06,114.8,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,ES,2024-07,114.5,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,ES,2024-08,114.0,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,ES,2024-09,113.7,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,ES,2024-10,113.5,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,ES,2024-11,113.5,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,ES,2024-12,113.6,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,ES,2025-01,114.2,p,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,ES,2025-02,115.0,p,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,ES,2025-03,115.4,p,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,EU27_2020,2024-05,117.2,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,EU27_2020,2024-06,117.2,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,EU27_2020,2024-07,117.2,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,EU27_2020,2024-08,117.1,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,EU27_2020,2024-09,117.0,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,EU27_2020,2024-10,116.9,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,EU27_2020,2024-11,116.9,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,EU27_2020,2024-12,116.9,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,EU27_2020,2025-01,117.2,,
ESTAT:TEIIS040(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_ING,NSA,I21_NSA,EU27_2020,2025-02,117.7,,
