DATAFLOW,LAST UPDATE,freq,indic_bt,nace_r2,s_adj,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TEIIS050(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_CAG,NSA,I21_NSA,CY,2024-08,112.5,,
ESTAT:TEIIS050(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_CAG,NSA,I21_NSA,CY,2024-09,112.6,,
ESTAT:TEIIS050(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_CAG,NSA,I21_NSA,CY,2024-10,113.1,,
ESTAT:TEIIS050(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_CAG,NSA,I21_NSA,CY,2024-11,112.9,,
ESTAT:TEIIS050(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_CAG,NSA,I21_NSA,CY,2024-12,113.0,,
ESTAT:TEIIS050(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_CAG,NSA,I21_NSA,CY,2025-01,113.2,,
ESTAT:TEIIS050(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_CAG,NSA,I21_NSA,CY,2025-02,113.2,,
ESTAT:TEIIS050(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_CAG,NSA,I21_NSA,CY,2025-03,113.3,,
ESTAT:TEIIS050(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_CAG,NSA,I21_NSA,CZ,2024-05,114.8,,
ESTAT:TEIIS050(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_CAG,NSA,I21_NSA,CZ,2024-06,115.1,,
ESTAT:TEIIS050(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_CAG,NSA,I21_NSA,CZ,2024-07,116.2,,
ESTAT:TEIIS050(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_CAG,NSA,I21_NSA,CZ,2024-08,116.0,,
ESTAT:TEIIS050(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_CAG,NSA,I21_NSA,CZ,2024-09,115.8,,
ESTAT:TEIIS050(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_CAG,NSA,I21_NSA,CZ,2024-10,116.0,,
ESTAT:TEIIS050(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_CAG,NSA,I21_NSA,CZ,2024-11,116.5,,
ESTAT:TEIIS050(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_CAG,NSA,I21_NSA,CZ,2024-12,116.3,,
ESTAT:TEIIS050(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_CAG,NSA,I21_NSA,CZ,2025-01,117.4,,
ESTAT:TEIIS050(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_CAG,NSA,I21_NSA,CZ,2025-02,117.4,,
ESTAT:TEIIS050(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_CAG,NSA,I21_NSA,CZ,2025-03,117.3,,
ESTAT:TEIIS050(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_CAG,NSA,I21_NSA,CZ,2025-04,117.2,,
ESTAT:TEIIS050(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_CAG,NSA,I21_NSA,DE,2024-05,115.7,,
ESTAT:TEIIS050(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_CAG,NSA,I21_NSA,DE,2024-06,115.9,,
ESTAT:TEIIS050(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_CAG,NSA,I21_NSA,DE,2024-07,115.9,,
ESTAT:TEIIS050(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_CAG,NSA,I21_NSA,DE,2024-08,116.0,,
ESTAT:TEIIS050(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_CAG,NSA,I21_NSA,DE,2024-09,116.0,,
ESTAT:TEIIS050(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_CAG,NSA,I21_NSA,DE,2024-10,116.2,,
ESTAT:TEIIS050(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_CAG,NSA,I21_NSA,DE,2024-11,116.2,,
ESTAT:TEIIS050(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_CAG,NSA,I21_NSA,DE,2024-12,116.2,,
ESTAT:TEIIS050(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_CAG,NSA,I21_NSA,DE,2025-01,117.1,,
ESTAT:TEIIS050(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_CAG,NSA,I21_NSA,DE,2025-02,117.4,,
ESTAT:TEIIS050(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_CAG,NSA,I21_NSA,DE,2025-03,117.5,,
ESTAT:TEIIS050(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_CAG,NSA,I21_NSA,DE,2025-04,117.8,,
ESTAT:TEIIS050(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_CAG,NSA,I21_NSA,DK,2024-05,110.8,,
ESTAT:TEIIS050(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_CAG,NSA,I21_NSA,DK,2024-06,110.6,,
ESTAT:TEIIS050(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_CAG,NSA,I21_NSA,DK,2024-07,111.5,,
ESTAT:TEIIS050(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_CAG,NSA,I21_NSA,DK,2024-08,112.3,,
ESTAT:TEIIS050(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_CAG,NSA,I21_NSA,DK,2024-09,112.1,,
ESTAT:TEIIS050(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_CAG,NSA,I21_NSA,DK,2024-10,110.9,,
ESTAT:TEIIS050(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_CAG,NSA,I21_NSA,DK,2024-11,112.1,,
ESTAT:TEIIS050(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_CAG,NSA,I21_NSA,DK,2024-12,112.7,,
ESTAT:TEIIS050(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_CAG,NSA,I21_NSA,DK,2025-01,112.9,,
ESTAT:TEIIS050(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_CAG,NSA,I21_NSA,DK,2025-02,113.3,,
ESTAT:TEIIS050(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_CAG,NSA,I21_NSA,DK,2025-03,113.1,,
ESTAT:TEIIS050(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_CAG,NSA,I21_NSA,DK,2025-04,113.4,,
ESTAT:TEIIS050(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_CAG,NSA,I21_NSA,EA20,2024-05,114.0,,
ESTAT:TEIIS050(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_CAG,NSA,I21_NSA,EA20,2024-06,114.1,,
ESTAT:TEIIS050(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_CAG,NSA,I21_NSA,EA20,2024-07,114.1,,
ESTAT:TEIIS050(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_CAG,NSA,I21_NSA,EA20,2024-08,114.2,,
ESTAT:TEIIS050(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_CAG,NSA,I21_NSA,EA20,2024-09,114.2,,
ESTAT:TEIIS050(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_CAG,NSA,I21_NSA,EA20,2024-10,114.3,,
ESTAT:TEIIS050(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_CAG,NSA,I21_NSA,EA20,2024-11,114.3,,
ESTAT:TEIIS050(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_CAG,NSA,I21_NSA,EA20,2024-12,114.5,,
ESTAT:TEIIS050(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_CAG,NSA,I21_NSA,EA20,2025-01,115.3,,
ESTAT:TEIIS050(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_CAG,NSA,I21_NSA,EA20,2025-02,115.6,,
ESTAT:TEIIS050(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_CAG,NSA,I21_NSA,EA20,2025-03,115.7,,
ESTAT:TEIIS050(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_CAG,NSA,I21_NSA,EE,2024-05,119.5,,
ESTAT:TEIIS050(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_CAG,NSA,I21_NSA,EE,2024-06,121.0,,
ESTAT:TEIIS050(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_CAG,NSA,I21_NSA,EE,2024-07,119.2,,
ESTAT:TEIIS050(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_CAG,NSA,I21_NSA,EE,2024-08,120.8,,
ESTAT:TEIIS050(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_CAG,NSA,I21_NSA,EE,2024-09,120.2,,
ESTAT:TEIIS050(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_CAG,NSA,I21_NSA,EE,2024-10,116.8,,
ESTAT:TEIIS050(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_CAG,NSA,I21_NSA,EE,2024-11,118.7,,
ESTAT:TEIIS050(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_CAG,NSA,I21_NSA,EE,2024-12,118.6,,
ESTAT:TEIIS050(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_CAG,NSA,I21_NSA,EE,2025-01,116.2,,
ESTAT:TEIIS050(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_CAG,NSA,I21_NSA,EE,2025-02,116.4,,
ESTAT:TEIIS050(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_CAG,NSA,I21_NSA,EE,2025-03,118.0,,
ESTAT:TEIIS050(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_CAG,NSA,I21_NSA,EE,2025-04,118.8,,
ESTAT:TEIIS050(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_CAG,NSA,I21_NSA,EL,2024-05,107.6,,
ESTAT:TEIIS050(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_CAG,NSA,I21_NSA,EL,2024-06,107.6,,
ESTAT:TEIIS050(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_CAG,NSA,I21_NSA,EL,2024-07,108.9,,
ESTAT:TEIIS050(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_CAG,NSA,I21_NSA,EL,2024-08,109.6,,
ESTAT:TEIIS050(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_CAG,NSA,I21_NSA,EL,2024-09,110.2,,
ESTAT:TEIIS050(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_CAG,NSA,I21_NSA,EL,2024-10,110.1,,
ESTAT:TEIIS050(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_CAG,NSA,I21_NSA,EL,2024-11,109.4,,
ESTAT:TEIIS050(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_CAG,NSA,I21_NSA,EL,2024-12,109.4,,
ESTAT:TEIIS050(1.0),24/05/25 11:00:00,M,PRC_PRR_DOM,MIG_CAG,NSA,I21_NSA,EL,2025-01,110.3,,
