,EDGAR Country Code,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
65,FRA,France and Monaco,0.22651168994489,0.23712866942567,0.22730994453213,0.21938758987759,0.21208730301843,0.21194932240727,0.21607749750494,0.20582276662368,0.20322190283341,0.19375622197388,0.18634653846197,0.18413373293426,0.17985342972608,0.17950845107461,0.1749998184734,0.17227782866504,0.16382513844159,0.1581927225525,0.15551130496497,0.15560552791885,0.15559293357203,0.14701290094221,0.14719448789224,0.14477563380187,0.13348486497696,0.13323437003537,0.13224282454081,0.13013670575541,0.12414167248312,0.11913303493943,0.11622176607617,0.11772975929443,0.11133052007616,0.10242484785293
77,GRC,Greece,0.35930913581273,0.34777879265387,0.35193950051142,0.35765264533426,0.35936348789134,0.36669743794001,0.35952941848863,0.34794489067426,0.34747217965855,0.34042481568866,0.34508071749509,0.33315557590833,0.32227727951402,0.31317578423679,0.29842252403894,0.30200114911971,0.27845995527612,0.27892217684865,0.27010041090541,0.26878977656086,0.2671539907568,0.28926751960365,0.29782771693267,0.28270207924458,0.27302648380977,0.26852648072845,0.26569718464369,0.26382802058057,0.25217022712021,0.23137118317353,0.22269152061586,0.20937184176609,0.19858936043463,0.18432588930067
85,HRV,Croatia,0.29915840209739,0.29223271680491,0.2963634234118,0.32074494429282,0.29073716375933,0.27897695965208,0.27252944190768,0.27025268832768,0.26284197514456,0.27617624303864,0.26286582196397,0.2660916581357,0.25827842813621,0.25875571611928,0.25334709449667,0.24281307927219,0.23465481374755,0.23669253993152,0.22291802302668,0.22585241241795,0.22346105512696,0.22157817732745,0.212330882504,0.21036014523472,0.20528972173921,0.20640903346127,0.20353289152278,0.20172999590566,0.18797841526059,0.18360876842175,0.19598810212571,0.17565380575008,0.16167289290824,0.15701643423178
87,HUN,Hungary,0.4348212016474,0.46130344671377,0.4211768702199,0.42786059906668,0.41375870254821,0.40349694923142,0.41542984178421,0.39543625709536,0.37761821355932,0.36874523665482,0.339857823456,0.33382637445589,0.3114119992501,0.30959003399852,0.29116125428537,0.28133805197629,0.26770282881974,0.25794733147654,0.24707598611168,0.24138266089322,0.24040609963016,0.23347605889047,0.22312790578174,0.21000286599824,0.20177941768723,0.20343924032447,0.20114921340028,0.20236150225047,0.19203716278266,0.18317964273798,0.18784059809946,0.17883254428193,0.16375746580932,0.15666213888714
90,IRL,Ireland,0.56021800536437,0.55499319415886,0.53754676209778,0.53002029348119,0.51374206099546,0.47443946277352,0.45307092430382,0.4177365786269,0.40074060773562,0.38473142566226,0.37055469679599,0.36432847135516,0.33765074162124,0.32696665709582,0.30206952861483,0.2915869041752,0.28000989493173,0.25769257369276,0.26536369011081,0.2589458083723,0.25084359276859,0.23247663783934,0.23713583255087,0.23126024877781,0.21293182331392,0.17646727197468,0.18206320927508,0.16426913589552,0.14280511269913,0.13131268109691,0.1187724874709,0.10674958114431,0.096057091670486,0.095081007420021
95,ITA,"Italy, San Marino and the Holy See",0.21031897884895,0.20625308759601,0.20283701667726,0.2016128102877,0.19554280019931,0.20006408920651,0.19605107344341,0.19396319184013,0.1940704706401,0.19355951935972,0.18895508313016,0.1841145240702,0.18684726754985,0.19326996355646,0.19387154976456,0.19278895970971,0.18547677001598,0.18055885249757,0.1772742122743,0.16947547589468,0.17028980824572,0.16523374090103,0.16388613807662,0.15529112006515,0.14816257479343,0.14986759625191,0.14620724347601,0.14306435299093,0.14004618567401,0.13636248000886,0.13550773347423,0.13772236670069,0.13137592414812,0.1208134734059
114,LTU,Lithuania,0.59599195171467,0.6524851110138,0.53350687589551,0.50635517019481,0.52506570096073,0.48285469253342,0.4698736509702,0.42497121623415,0.4126074736819,0.36447811009215,0.32333758384494,0.3147209745959,0.3026805232254,0.2750496847466,0.26972480108162,0.26310819797836,0.24839343136085,0.24563276270571,0.24633391984607,0.25356742222926,0.26038025610642,0.25496059090878,0.24905294128165,0.2252285387784,0.21831696674684,0.22145204713379,0.2107053901585,0.20531498275021,0.19505304755175,0.18803920804693,0.18545008239137,0.17305684449428,0.15623126830264,0.15585427861182
115,LUX,Luxembourg,0.41008926759862,0.3923540036693,0.37731509745927,0.36927290167143,0.33090801884502,0.26337777479751,0.2613536288695,0.23288200808533,0.20106402147505,0.19422735027503,0.19420406703288,0.19864403718041,0.20515077687886,0.2072782325541,0.22369208702991,0.22202452699696,0.20633041081436,0.18223770606662,0.18098479388279,0.17772512300568,0.18082545653542,0.17667915952467,0.17028378617666,0.157611926103,0.14684693423171,0.13648456786388,0.12685815671611,0.12712672498742,0.12888448536843,0.12701213673831,0.10725206305098,0.10428728339491,0.090781162877905,0.088791051665935
116,LVA,Latvia,0.56076215431203,0.60001077969115,0.74144536716353,0.66129255707406,0.53341920231915,0.46948030805967,0.4566035700822,0.40161995106386,0.36058538084051,0.32967268590365,0.2868516819564,0.28566287718612,0.2683510925772,0.25533942321497,0.2399780156312,0.22195488995348,0.21013453706394,0.19910659048649,0.19571801062785,0.21478303296718,0.24540948298992,0.22960600880973,0.21407626646723,0.20594134361043,0.19963106545033,0.19665234755574,0.19253827148835,0.18447836131344,0.18589630429124,0.18205772256764,0.17939065665477,0.17118660438374,0.1553280058687,0.15399724728021
125,MLT,Malta,0.38041120442219,0.3438480680227,0.32399480277996,0.39507707988418,0.33699324321153,0.3014695524847,0.2844835286333,0.28669182574737,0.26289031571199,0.25509129639423,0.19046186191618,0.22325254539972,0.2034183615703,0.21847861366666,0.21751771801411,0.21478176018162,0.21431743331396,0.21030367084785,0.20459589290008,0.19364900722521,0.18941062879341,0.19012800876178,0.18785326519422,0.15859551929424,0.14703265603766,0.10061885736403,0.083490918235258,0.083892192466363,0.077479545096484,0.075921767482334,0.080255762960682,0.071596079983709,0.070463033844023,0.064239797124274
139,NLD,Netherlands,0.34675241078766,0.34664306392527,0.33916784353986,0.33988092796407,0.33289779177001,0.32705184406109,0.33098418603467,0.30475411017342,0.29111720038312,0.2649464697986,0.25241815214195,0.2455532721101,0.24357436658557,0.24597010993175,0.24380339025909,0.23222775330678,0.22082713241155,0.21295221845808,0.20410857048797,0.2060858846537,0.21478502948484,0.19886867414536,0.19817070680782,0.19631489594896,0.18574120916296,0.189721506476,0.18754364404433,0.17890709023261,0.1692947521944,0.16116431546047,0.15255040484294,0.14720884847926,0.13015649698245,0.12160006460809
150,POL,Poland,1.0321599799553,1.086396720238,1.0299069501778,0.98525483600686,0.92252740137687,0.86248996283342,0.83731630916247,0.77092432250864,0.67883509588702,0.62871930039282,0.57886080296125,0.56304703503467,0.54128216934188,0.53645157307694,0.51112312516723,0.49403231857754,0.48127232675047,0.44718841281446,0.42044694114333,0.39252797132915,0.39954580362688,0.37731259236392,0.36708462564921,0.35786122112582,0.33165691748021,0.31933990429903,0.3193214116918,0.31417588502807,0.29597623588218,0.27074234433581,0.26430792967022,0.26521915320071,0.2461930768153,0.22511372728071
153,PRT,Portugal,0.21581334418452,0.21239781509682,0.22331126045045,0.2238778539857,0.22969757131971,0.23183997396556,0.22053323474438,0.21980227506922,0.22426102413311,0.23607347719525,0.22436288692889,0.2161568990195,0.22641467867014,0.21459477264433,0.21512113712973,0.22124464916098,0.20562505298148,0.1966197866275,0.18960111327873,0.19302488659507,0.17629378702587,0.17425239853666,0.17638667448323,0.17284480728631,0.17082897395293,0.17946947820534,0.17358201804151,0.1813083563636,0.16676928280146,0.15223623478122,0.15116893720845,0.13882505428984,0.13095164378316,0.12073727233065
158,ROU,Romania,0.63384092118222,0.59403710890218,0.59393967322949,0.5527758236506,0.51929466014521,0.50273495039001,0.494672987931,0.48146487508891,0.43755488639743,0.38643483561392,0.38998664675466,0.38753216347692,0.3661730390685,0.36871058820987,0.33368670461866,0.31434008551013,0.3047611246953,0.27988366332367,0.25198983841072,0.22508777208335,0.23154388116711,0.23287483051102,0.22343488298649,0.2077481984558,0.20056407600754,0.19633159204008,0.19075847180185,0.18172100550766,0.17338358664897,0.16436110836431,0.16127032661197,0.15954356949004,0.14679658504272,0.13709549920231
174,SVK,Slovakia,0.83129759964924,0.84348950215976,0.8399269618201,0.79945027817544,0.71667207162517,0.6775401534456,0.64381356302157,0.60001670556627,0.56589029843033,0.55478278864918,0.52469377848945,0.51356990836203,0.48858400803139,0.46977265081398,0.44319853386526,0.41640429922497,0.38622178428984,0.34218465919613,0.32257695106938,0.31246251078957,0.3102397132844,0.29162751602067,0.2740763508451,0.27469039619743,0.25155588002611,0.24416692886404,0.2446600193448,0.24943133860944,0.23737569753836,0.21916146151938,0.21638884985312,0.22725880680115,0.21690713660856,0.21016166253607
175,SVN,Slovenia,0.41988756845847,0.42915822844547,0.42924089295542,0.42991684133165,0.40482625783098,0.40731408519593,0.40751026727396,0.4013466149075,0.38563344038799,0.35433825137992,0.33690699338185,0.35523845783861,0.35476550446601,0.34182371746848,0.33570854547251,0.32610628718976,0.3100790308672,0.28870760334093,0.28616121537427,0.28063763476767,0.27842866226562,0.26268900917665,0.26186615152494,0.26273857125921,0.23505967271381,0.23295050916675,0.23455393057699,0.22785377457036,0.21657924354742,0.20231883942842,0.19679662086062,0.18332202471629,0.17089231681703,0.15674337108885
176,SWE,Sweden,0.21952183500979,0.22209930750111,0.23257398422837,0.23926338913622,0.23899310000431,0.22770024142235,0.238746566515,0.21722503380286,0.20876656495394,0.19730841440132,0.17928078623031,0.17621208659442,0.17638941534786,0.17306617742813,0.16309247597922,0.14780323448322,0.14215021831782,0.13261478092481,0.13017037782456,0.12626962444793,0.13008193895886,0.11756218841408,0.11304673340784,0.10796381428624,0.10260564316722,0.098275358031672,0.095955186072581,0.092301232249588,0.086116823945306,0.083938339320128,0.083686758671905,0.081692292613641,0.073972704903186,0.072622402256941
